"Name","Source","Size","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment"
"Vulture","MM","Medium","unaligned","10","5 (1d8 + 1)","10 ft., fly 50 ft.","7","10","13","2","12","4","","Perception +3","","","","","passive Perception 13","—","0 (0 or 10 XP)"," Keen Sight and Smell. The vulture has advantage on Wisdom (Perception) checks that rely on sight or smell. Pack Tactics. The vulture has advantage on an attack roll against a creature if at least one of the vulture's allies is within 5 feet of the creature and the ally isn't incapacitated."," Beak. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) piercing damage.","","","","","","","Desert, Grassland, Hill"
"Walrus","IDRotF","Large","unaligned","9","22 (3d10 + 6)","20 ft., swim 40 ft.","15","9","14","3","11","4","","","","","","","passive Perception 10","—","1/4 (50 XP)"," Hold Breath. The walrus can hold its breath for 10 minutes."," Tusks. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) piercing damage.","","","","","","",""
"Warhorse","MM","Large","unaligned","11","19 (3d10 + 3)","60 ft.","18","12","13","2","12","7","","","","","","","passive Perception 11","—","1/2 (100 XP)"," Trampling Charge. If the horse moves at least 20 feet straight toward a creature and then hits it with a hooves attack on the same turn, that target must succeed on a DC 14 Strength saving throw or be knocked prone. If the target is prone, the horse can make another attack with its hooves against it as a bonus action."," Hooves. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage.","","","","","","","Urban"
"Weasel","MM","Tiny","unaligned","13","1 (1d4 - 1)","30 ft.","3","16","8","2","12","3","","Perception +3, Stealth +5","","","","","passive Perception 13","—","0 (0 or 10 XP)"," Keen Hearing and Smell. The weasel has advantage on Wisdom (Perception) checks that rely on hearing or smell."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 1 piercing damage.","","","","","","",""
"Wild Dog","ToA","Small","unaligned","12","3 (1d6)","40 ft.","8","15","11","3","12","6","","Perception +3","","","","","passive Perception 13","—","0 (0 or 10 XP)"," Keen Hearing and Smell. The dog has advantage on Wisdom (Perception) checks that rely on hearing or smell. Pack Tactics. The dog has advantage on an attack roll against a creature if at least one of the dog's allies is within 5 feet of the creature and the ally isn't incapacitated."," Bite. Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 1 (1d4 - 1) piercing damage.","","","","","","",""
"Wolf","MM","Medium","unaligned","13 (natural armor)","11 (2d8 + 2)","40 ft.","12","15","12","3","12","6","","Perception +3, Stealth +4","","","","","passive Perception 13","—","1/4 (50 XP)"," Keen Hearing and Smell. The wolf has advantage on Wisdom (Perception) checks that rely on hearing or smell. Pack Tactics. The wolf has advantage on an attack roll against a creature if at least one of the wolf's allies is within 5 feet of the creature and the ally isn't incapacitated."," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) piercing damage. If the target is a creature, it must succeed on a DC 11 Strength saving throw or be knocked prone.","","","","","","","Forest, Grassland, Hill"
"Yak","SKT","Large","unaligned","10","13 (2d10 + 2)","50 ft.","16","10","12","2","10","6","","","","","","","passive Perception 10","—","1/4 (50 XP)"," Charge. If the yak moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 7 (2d6) damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone."," Ram. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) bludgeoning damage. Hooves. Melee Weapon Attack: +5 to hit, reach 5 ft., one prone creature. Hit: 8 (2d4 + 3) bludgeoning damage.","","","","","","",""
"Young Bulette","PotA","Large","unaligned","11 (natural armor)","45 (6d10 + 12)","40 ft.","21","8","15","2","12","6","","","","","","","passive Perception 11","—","2 (450 XP)"," Charge. If the bulette moves at least 20 feet straight toward a target and then hits it with a gore attack on the same turn, the target takes an extra 9 (2d8) bludgeoning damage. If the target is a creature, it must succeed on a DC 15 Strength saving throw or be knocked prone."," Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 14 (2d8 + 5) piercing damage.","","","","","","",""
"Young Horizonback Tortoise","CRCotN","Huge","unaligned","15 (natural armor)","68 (8d12 + 16)","30 ft.","19","11","15","2","12","5","","","","","","","passive Perception 11","understands Goblin but can't speak","3 (700 XP)"," Amphibious. The young horizonback tortoise can breathe air and water."," Bite. Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 18 (4d6 + 4) piercing damage. If the target is a creature, it must succeed on a DC 14 Strength saving throw or be knocked prone.","","","","","","",""
"Young Winter Wolf","TftYP","Large","unaligned","14 (natural armor)","37 (5d10 + 10)","50 ft.","17","15","15","3","12","7","","Perception +3, Stealth +4","","","","","passive Perception 13","—","1 (200 XP)"," Keen Hearing and Smell. The wolf has advantage on Wisdom (Perception) checks that rely on hearing or smell. Pack Tactics. The wolf has advantage on an attack roll against a creature if at least one of the wolf's allies is within 5 feet of the creature and the ally isn't incapacitated."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone.","","","","","","",""
"Zebra","ToA","Large","unaligned","10","13 (2d10 + 2)","60 ft.","16","10","12","2","11","7","","","","","","","passive Perception 10","—","1/4 (50 XP)",""," Hooves. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (2d4 + 3) bludgeoning damage.","","","","","","",""
